sample_id,experiment,chunking_time_s,num_chunks,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
2238637590520776850,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
4888749948333247305,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
7979894458528973979,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,0.4,0.3333333333333333,0.3636363636363636
-2356620905348384701,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,0.2,0.5,0.28571428571428575
3741881763057304828,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-4197100346635131711,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
3810524430141178378,semantic_t0.7_miniLM,0,4774615,0.5,0.5833333333333333,0.6934264036172708,0.4,0.6666666666666666,0.5
-2626070203629177044,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
4900162808675293750,semantic_t0.7_miniLM,0,4774615,0.2,0.2,0.38685280723454163,0.2,0.5,0.28571428571428575
-1014810535517666778,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-6470852510656838548,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
8720931245992054917,semantic_t0.7_miniLM,0,4774615,0.2,0.2,0.38685280723454163,0.2,0.3333333333333333,0.25
-1723838191101966019,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-7292578565515864081,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
3974593124293992606,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,1.0,1.0,1.0
8243238313991869281,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-6500157612563796426,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-6497998034447212269,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-9116200031522845721,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
1208784703146236818,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
7850311705769748982,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-5533525708521658446,semantic_t0.7_miniLM,0,4774615,0.2,0.2,0.38685280723454163,0.2,0.3333333333333333,0.25
-1304534837288021208,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,1.0,1.0,1.0
-2044066155885527892,semantic_t0.7_miniLM,0,4774615,1.0,0.7000000000000001,0.8529278650606567,0.6,0.75,0.6666666666666665
3190922683222211432,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
5969361192648174710,semantic_t0.7_miniLM,0,4774615,1.0,0.8666666666666667,0.9469024295259745,0.6,0.5,0.5454545454545454
-9023951041279840976,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,0.2,0.5,0.28571428571428575
-7214830345069080037,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,0.6,0.5,0.5454545454545454
-3261964206564347017,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,0.2,0.25,0.22222222222222224
8436557222767743855,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-5451280536261708088,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,0.2,0.5,0.28571428571428575
9190907501129039633,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
2147544597412630361,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,1.0,2.5,1.4285714285714286
-681960337772681641,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-4184569725653603290,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-2826799963134723425,semantic_t0.7_miniLM,0,4774615,0.25,0.25,0.43067655807339306,0.2,0.3333333333333333,0.25
-6158441934367575013,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,1.0,0.7142857142857143,0.8333333333333333
-1852293779807621393,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
5097994110961197285,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
5133876537670324411,semantic_t0.7_miniLM,0,4774615,1.0,0.8333333333333333,0.9197207891481876,0.4,1.0,0.5714285714285715
7707203931196394072,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-4784876471357970894,semantic_t0.7_miniLM,0,4774615,0.5,0.5,0.6309297535714575,0.2,0.5,0.28571428571428575
-6423786628618031590,semantic_t0.7_miniLM,0,4774615,1.0,0.7,0.8503449055347546,0.4,0.25,0.3076923076923077
6759415593087174310,semantic_t0.7_miniLM,0,4774615,1.0,0.8666666666666667,0.9469024295259745,0.6,0.75,0.6666666666666665
